# trades.txt
# A record of trades

# ticker  YYYYmmdd buy/sell quantity $

intc 20230630 Buy 31 32.91
intc 20230707 Buy 32 31.97

knx 20230630 Sell 18 55.74
knx 20230707 Buy 18 54.38

ko 20230630 Buy 16 60.02
ko 20230707 Buy 16 60.56
ko 20230714 Buy 16 60.35

lmt 20230630 Buy 2 457.44

mu 20230630 Buy 15 64.209
mu 20230707 Buy 16 61.115
mu 20230714 Sell 15 64.53

nvda 20230630 Buy 2 408.22
nvda 20230707 Sell 2 421.03

oak-pb 20230630 Buy 47 21.52
oak-pb 20230707 Buy 47 21.55

pfe 20230630 Buy 27 36.12
pfe 20230707 Buy 28 35.63
pfe 20230714 Buy 27 36.06

qcom 20230630 Buy 8 118.06
qcom 20230707 Buy 8 115.22

relx 20230714 Sell 31 32.97
sap 20230707 Buy 7 132.43
swks 20230707 Sell 9 108.69
t 20230630 Sell 66 15.98

tsem 20230630 Buy 27 37.05
tsem 20230707 Buy 28 35.92
tsem 20230714 Buy 27 37.17

tsm 20230630 Buy 10 100.64
tsm 20230707 Buy 10 99.41

unf 20230630 Buy 6 156.48
unf 20230707 Buy 6 151.23
unf 20230714 Buy 6 155.93

vz 20230714 Buy 29 34.64
