description,latitude,longitude,altitude
"McBride, Oklahoma",33.934502,-96.636363,207.0
"McCord, Oklahoma",36.673115,-97.035919,332.0
"McCurtain, Oklahoma",35.150561,-94.967178,189.0
"McLoud, Oklahoma",35.412153,-97.106622,343.0
"Mead, Oklahoma",33.997991,-96.518641,226.0
"Medford, Oklahoma",36.803444,-97.738169,334.0
"Medicine Park, Oklahoma",34.73199,-98.48897,425.0
"Meeker, Oklahoma",35.489312,-96.897646,284.0
"Mehan, Oklahoma",36.04583,-96.940133,259.0
"Meno, Oklahoma",36.388195,-98.177925,410.0
"Meridian, Oklahoma",35.844226,-97.245563,316.0
"Miami, Oklahoma",36.887738,-94.870913,238.0
"Middleberg, Oklahoma",35.10661,-97.73416,400.0
"Midwest City, Oklahoma",35.458752,-97.37457,373.0
"Milburn, Oklahoma",34.238658,-96.552394,222.0
"Milfay, Oklahoma",35.75095,-96.559172,256.0
"Mill Creek, Oklahoma",34.402551,-96.825196,317.0
"Millerton, Oklahoma",33.984902,-95.023033,150.0
"Minco, Oklahoma",35.315621,-97.951407,400.0
"Moffett, Oklahoma",35.404671,-94.455721,127.0
"Monroe, Oklahoma",34.993724,-94.515539,163.0
"Moodys, Oklahoma",36.034069,-94.956412,287.0
"Moore, Oklahoma",35.328503,-97.474763,369.0
"Mooreland, Oklahoma",36.437701,-99.204847,578.0
"Morris, Oklahoma",35.605211,-95.860823,224.0
"Morrison, Oklahoma",36.29173,-97.0348,284.0
"Mounds, Oklahoma",35.875913,-96.066128,223.0
"Mountain Park, Oklahoma",34.698829,-98.952348,418.0
"Mountain View, Oklahoma",35.099516,-98.749749,411.0
"Moyers, Oklahoma",34.325002,-95.651087,150.0
"Mulberry, Oklahoma",35.868687,-94.69945,332.0
"Muldrow, Oklahoma",35.40342,-94.597523,157.0
"Mule Barn, Oklahoma",36.217903,-96.312301,267.0
"Mulhall, Oklahoma",36.112098,-97.342802,341.0
"Murphy, Oklahoma",36.134102,-95.24137,245.0
"Muskogee, Oklahoma",35.743797,-95.356405,179.0
"Mustang, Oklahoma",35.391847,-97.72514,409.0
"Mutual, Oklahoma",36.230462,-99.167975,573.0
"Narcissa, Oklahoma",36.801033,-94.927866,256.0
"Nardin, Oklahoma",36.804091,-97.449868,331.0
"Nash, Oklahoma",36.665048,-98.051966,342.0
"Nashoba, Oklahoma",34.480729,-95.210298,211.0
"Nelagoney, Oklahoma",36.626037,-96.2441,256.0
"Nescatunga, Oklahoma",36.754293,-98.156052,348.0
"New Alluwe, Oklahoma",36.610102,-95.488565,222.0
"New Cordell, Oklahoma",35.296862,-98.983769,470.0
"New Eucha, Oklahoma",36.39116,-94.852242,327.0
"New Woodville, Oklahoma",33.968845,-96.654842,233.0
"Newcastle, Oklahoma",35.242395,-97.595336,363.0
"Newkirk, Oklahoma",36.881797,-97.055292,350.0
"Nichols Hills, Oklahoma",35.546389,-97.54327,365.0
"Nicoma Park, Oklahoma",35.49178,-97.324313,363.0
"Nicut, Oklahoma",35.602384,-94.562909,183.0
"Ninnekah, Oklahoma",34.964011,-97.944707,352.0
"Noble, Oklahoma",35.134919,-97.371089,357.0
"Norge, Oklahoma",34.98878,-97.994049,386.0
"Norman, Oklahoma",35.240569,-97.345299,351.0
"North Enid, Oklahoma",36.445832,-97.863389,383.0
"North Miami, Oklahoma",36.920131,-94.879654,248.0
"Norwood, Oklahoma",35.844683,-95.151226,272.0
"Notchietown, Oklahoma",35.585427,-95.089467,183.0
"Nowata, Oklahoma",36.699265,-95.637465,216.0
"Oak Grove, Oklahoma",36.205613,-96.338423,237.0
"Oak Hill-Piney, Oklahoma",36.378688,-94.726565,317.0
"Oakhurst, Oklahoma",36.08061,-96.062364,224.0
"Oakland, Oklahoma",34.093175,-96.802424,271.0
"Oaks, Oklahoma",36.169798,-94.852931,311.0
"Oakwood, Oklahoma",35.931616,-98.703088,560.0
"Ochelata, Oklahoma",36.602685,-95.975056,221.0
"Oilton, Oklahoma",36.082655,-96.581442,240.0
"Okarche, Oklahoma",35.724871,-97.975675,380.0
"Okay, Oklahoma",35.865019,-95.307735,173.0
"Okeene, Oklahoma",36.117076,-98.316734,373.0
"Okemah, Oklahoma",35.429269,-96.300309,268.0
"Oklahoma City, Oklahoma",35.467079,-97.513657,368.0
"Okmulgee, Oklahoma",35.625162,-95.954032,215.0
"Oktaha, Oklahoma",35.577489,-95.477892,182.0
"Old Eucha, Oklahoma",36.355135,-94.937907,302.0
"Old Green, Oklahoma",35.98533,-94.608227,327.0
"Olive, Oklahoma",36.02382,-96.481544,274.0
"Olustee, Oklahoma",34.547754,-99.424066,407.0
"Oologah, Oklahoma",36.443778,-95.708911,198.0
"Optima, Oklahoma",36.761275,-101.349203,918.0
"Orlando, Oklahoma",36.148356,-97.374844,332.0
"Osage, Oklahoma",36.295702,-96.417211,259.0
"Owasso, Oklahoma",36.287217,-95.835365,211.0
"Paden, Oklahoma",35.508363,-96.567089,304.0
"Panama, Oklahoma",35.171182,-94.668428,139.0
"Panola, Oklahoma",34.922121,-95.208671,205.0
"Paoli, Oklahoma",34.827046,-97.262269,292.0
"Paradise Hill, Oklahoma",35.607345,-95.07309,235.0
"Park Hill, Oklahoma",35.834444,-94.972077,234.0
"Pauls Valley, Oklahoma",34.710206,-97.224027,291.0
"Pawhuska, Oklahoma",36.669064,-96.331216,249.0
"Pawnee, Oklahoma",36.35148,-96.800504,254.0
"Peavine, Oklahoma",35.900317,-94.606632,331.0
"Peckham, Oklahoma",36.886652,-97.178056,339.0
"Peggs, Oklahoma",36.067284,-95.071798,301.0
"Pensacola, Oklahoma",36.459227,-95.127764,200.0
"Peoria, Oklahoma",36.915563,-94.669552,268.0
"Perkins, Oklahoma",35.979763,-97.03129,279.0
"Perry, Oklahoma",36.280149,-97.30819,323.0
"Pershing, Oklahoma",36.590124,-96.273126,278.0
"Pettit, Oklahoma",35.773684,-94.976758,275.0
"Phillips, Oklahoma",34.504221,-96.222227,179.0
"Pickett, Oklahoma",34.779506,-96.775519,303.0
"Piedmont, Oklahoma",35.674845,-97.753508,372.0
"Pin Oak Acres, Oklahoma",36.122561,-95.288859,208.0
"Piney, Oklahoma",35.890519,-94.555943,340.0
"Pinhook Corner, Oklahoma",35.533147,-94.891677,203.0
"Pink, Oklahoma",35.232691,-97.100032,328.0
"Pittsburg, Oklahoma",34.711636,-95.850183,238.0
"Platter, Oklahoma",33.907851,-96.533959,202.0
"Pocasset, Oklahoma",35.177995,-97.959187,355.0
"Pocola, Oklahoma",35.251531,-94.467919,138.0
"Ponca City, Oklahoma",36.721042,-97.068444,308.0
"Pond Creek, Oklahoma",36.667836,-97.802391,319.0
"Pontotoc, Oklahoma",34.488836,-96.629019,315.0
"Porter, Oklahoma",35.868409,-95.515954,188.0
"Porum, Oklahoma",35.357128,-95.26339,178.0
"Poteau, Oklahoma",35.06665,-94.610269,140.0
"Prague, Oklahoma",35.496803,-96.69987,302.0
"Preston, Oklahoma",35.711385,-95.988942,245.0
"Proctor, Oklahoma",35.980356,-94.736268,300.0
"Prue, Oklahoma",36.249422,-96.266523,249.0
"Pryor Creek, Oklahoma",36.299675,-95.311286,190.0
"Pump Back, Oklahoma",36.260656,-95.121073,236.0
"Pumpkin Hollow, Oklahoma",36.005973,-94.841439,352.0
"Purcell, Oklahoma",35.02366,-97.373675,339.0
"Putnam, Oklahoma",35.855908,-98.968223,601.0
"Quapaw, Oklahoma",36.949989,-94.78653,261.0
"Quay, Oklahoma",36.160699,-96.70827,280.0
"Quinlan, Oklahoma",36.456222,-99.045728,526.0
"Quinton, Oklahoma",35.12606,-95.366479,195.0
"Ralston, Oklahoma",36.503475,-96.73738,251.0
"Ramona, Oklahoma",36.537579,-95.926319,195.0
"Randlett, Oklahoma",34.177347,-98.463921,317.0
"Ratliff City, Oklahoma",34.452445,-97.517354,324.0
"Rattan, Oklahoma",34.19604,-95.404544,164.0
"Ravia, Oklahoma",34.241226,-96.756825,229.0
"Reagan, Oklahoma",34.344063,-96.713367,279.0
"Red Oak, Oklahoma",34.951328,-95.079441,180.0
"Red Rock, Oklahoma",36.460071,-97.179608,280.0
"Redbird, Oklahoma",35.887132,-95.587254,196.0
"Redbird Smith, Oklahoma",35.563929,-95.024055,245.0
"Remy, Oklahoma",35.46144,-94.499574,255.0
"Renfrow, Oklahoma",36.92484,-97.657048,370.0
"Rentiesville, Oklahoma",35.533543,-95.484796,183.0
"Reydon, Oklahoma",35.649812,-99.92361,692.0
"Ringling, Oklahoma",34.177257,-97.591474,277.0
"Ringwood, Oklahoma",36.383582,-98.239964,405.0
"Ripley, Oklahoma",36.01584,-96.903844,263.0
"River Bottom, Oklahoma",35.635741,-95.237836,183.0
"Rock Island, Oklahoma",35.184921,-94.482614,153.0
"Rocky, Oklahoma",35.156408,-99.059646,503.0
"Rocky Ford, Oklahoma",36.155773,-94.911016,321.0
"Rocky Mountain, Oklahoma",35.790288,-94.771297,407.0
"Rocky Point, Oklahoma",36.025606,-95.322084,198.0
"Roff, Oklahoma",34.628935,-96.841467,382.0
"Roland, Oklahoma",35.413179,-94.508525,143.0
"Roosevelt, Oklahoma",34.848278,-99.022335,446.0
"Rose, Oklahoma",36.212358,-95.038139,295.0
"Rosedale, Oklahoma",34.918875,-97.185071,325.0
"Rosston, Oklahoma",36.812897,-99.932746,652.0
"Rush Springs, Oklahoma",34.778857,-97.95731,397.0
"Ryan, Oklahoma",34.021415,-97.954152,277.0
"Salina, Oklahoma",36.291629,-95.155423,193.0
"Sallisaw, Oklahoma",35.46036,-94.806617,162.0
"Sams Corner, Oklahoma",36.198319,-95.216708,195.0
"Sand Hill, Oklahoma",35.634262,-95.2012,192.0
"Sand Point, Oklahoma",33.960153,-96.571054,207.0
"Sand Springs, Oklahoma",36.136482,-96.13197,199.0
"Sapulpa, Oklahoma",36.004206,-96.123275,238.0
"Sasakwa, Oklahoma",34.946762,-96.52533,257.0
"Savanna, Oklahoma",34.836138,-95.835749,225.0
"Sawyer, Oklahoma",34.018708,-95.378474,130.0
"Sayre, Oklahoma",35.295653,-99.628239,577.0
"Schulter, Oklahoma",35.511268,-95.95654,217.0
"Scipio, Oklahoma",35.051296,-95.955577,219.0
"Seiling, Oklahoma",36.144651,-98.925437,537.0
"Selman, Oklahoma",36.801413,-99.489322,528.0
"Seminole, Oklahoma",35.234772,-96.649329,289.0
"Sentinel, Oklahoma",35.156979,-99.173463,504.0
"Sequoyah, Oklahoma",36.379744,-95.596839,230.0
"Seward, Oklahoma",35.796668,-97.486973,310.0
"Shady Grove, Oklahoma",35.948542,-95.095242,224.0
"Shady Grove, Oklahoma",35.468503,-95.411458,207.0
"Shady Point, Oklahoma",35.127585,-94.668491,149.0
"Shamrock, Oklahoma",35.910664,-96.577693,306.0
"Sharon, Oklahoma",36.275492,-99.338134,630.0
"Shattuck, Oklahoma",36.26497,-99.877431,704.0
"Shawnee, Oklahoma",35.369413,-96.956408,328.0
"Shidler, Oklahoma",36.780521,-96.659952,354.0
"Short, Oklahoma",35.568198,-94.495373,205.0
"Silo, Oklahoma",34.035744,-96.474467,249.0
"Simms, Oklahoma",35.39871,-95.164706,164.0
"Skedee, Oklahoma",36.380474,-96.703923,257.0
"Skiatook, Oklahoma",36.34654,-95.94536,214.0
"Slaughterville, Oklahoma",35.094631,-97.282809,363.0
"Slick, Oklahoma",35.778762,-96.264795,222.0
"Smith Village, Oklahoma",35.45079,-97.457006,373.0
"Smithville, Oklahoma",34.47276,-94.646471,223.0
"Snake Creek, Oklahoma",36.178558,-95.093714,293.0
"Snyder, Oklahoma",34.65541,-98.953394,412.0
"Soper, Oklahoma",34.032075,-95.696601,164.0
"Sour John, Oklahoma",35.620585,-95.143283,250.0
"South Coffeyville, Oklahoma",36.992089,-95.621838,223.0
"Sparks, Oklahoma",35.610915,-96.818516,258.0
"Sparrowhawk, Oklahoma",35.970552,-94.892782,320.0
"Spaulding, Oklahoma",35.013077,-96.440443,248.0
"Spavinaw, Oklahoma",36.393932,-95.050185,219.0
"Spencer, Oklahoma",35.510758,-97.371553,360.0
"Sperry, Oklahoma",36.296681,-95.998986,193.0
"Spiro, Oklahoma",35.240531,-94.624258,150.0
"Sportmans Shores, Oklahoma",36.464013,-95.0829,213.0
"Sportsmen Acres, Oklahoma",36.245577,-95.251695,187.0
"Springer, Oklahoma",34.29562,-97.11745,265.0
"St. Louis, Oklahoma",35.081259,-96.859791,285.0
"Steely Hollow, Oklahoma",35.99169,-94.935948,326.0
"Sterling, Oklahoma",34.749393,-98.172507,376.0
"Stidham, Oklahoma",35.368643,-95.700754,193.0
"Stigler, Oklahoma",35.258881,-95.11685,174.0
"Stillwater, Oklahoma",36.131496,-97.074464,292.0
"Stilwell, Oklahoma",35.815224,-94.631465,332.0
"Stonewall, Oklahoma",34.649823,-96.526832,215.0
"Stoney Point, Oklahoma",35.564708,-94.676222,343.0
"Strang, Oklahoma",36.412259,-95.134738,203.0
"Stratford, Oklahoma",34.795314,-96.960497,339.0
"Stringtown, Oklahoma",34.4696,-96.055521,208.0
"Strong City, Oklahoma",35.66984,-99.600448,578.0
"Stroud, Oklahoma",35.768875,-96.65007,263.0
"Stuart, Oklahoma",34.901062,-96.099426,224.0
"Sugden, Oklahoma",34.08253,-97.978839,259.0
"Sulphur, Oklahoma",34.501612,-96.986489,286.0
"Summit, Oklahoma",35.669581,-95.420655,191.0
"Sumner, Oklahoma",36.318302,-97.117931,287.0
"Sunray, Oklahoma",34.409303,-97.954223,321.0
"Sweetwater, Oklahoma",35.415025,-99.920299,663.0
"Swink, Oklahoma",34.017272,-95.20179,153.0
"Sycamore, Oklahoma",36.399006,-94.714954,327.0
"Taft, Oklahoma",35.760334,-95.545985,181.0
"Tagg Flats, Oklahoma",36.338723,-94.903645,292.0
"Tahlequah, Oklahoma",35.910503,-94.97772,255.0
"Talala, Oklahoma",36.529472,-95.701074,208.0
"Talihina, Oklahoma",34.75284,-95.043566,213.0
"Taloga, Oklahoma",36.040236,-98.964039,521.0
"Tamaha, Oklahoma",35.398188,-95.014189,156.0
"Tatums, Oklahoma",34.477557,-97.464584,298.0
"Taylor Ferry, Oklahoma",35.934485,-95.305379,196.0
"Tecumseh, Oklahoma",35.264267,-96.933445,319.0
"Temple, Oklahoma",34.272116,-98.234568,308.0
"Tenkiller, Oklahoma",35.802534,-94.852314,263.0
"Teresita, Oklahoma",36.123037,-94.980356,274.0
"Terlton, Oklahoma",36.187621,-96.491817,239.0
"Terral, Oklahoma",33.896632,-97.938228,259.0
"Texanna, Oklahoma",35.357918,-95.511754,207.0
"Texhoma, Oklahoma",36.505405,-101.787387,1064.0
"Texola, Oklahoma",35.222462,-99.992959,655.0
"Thackerville, Oklahoma",33.787525,-97.13918,262.0
"The Village, Oklahoma",35.570276,-97.557499,367.0
"Thomas, Oklahoma",35.744773,-98.739686,537.0
"Tiawah, Oklahoma",36.248285,-95.53619,184.0
"Tipton, Oklahoma",34.499357,-99.136278,398.0
"Tishomingo, Oklahoma",34.239048,-96.68242,213.0
"Titanic, Oklahoma",35.890698,-94.740643,333.0
"Tonkawa, Oklahoma",36.670589,-97.315028,290.0
"Tonkawa Tribal Housing, Oklahoma",36.669741,-97.266254,300.0
"Toppers, Oklahoma",35.966203,-95.319681,197.0
"Tribbey, Oklahoma",35.103791,-97.105602,324.0
"Tryon, Oklahoma",35.877055,-96.96959,305.0
"Tullahassee, Oklahoma",35.834812,-95.446942,181.0
"Tulsa, Oklahoma",36.127949,-95.902316,222.0
"Tupelo, Oklahoma",34.602685,-96.420791,216.0
"Turley, Oklahoma",36.246853,-95.966211,190.0
"Turpin, Oklahoma",36.870458,-100.882502,838.0
"Tushka, Oklahoma",34.318649,-96.167332,189.0
"Tuskahoma, Oklahoma",34.629729,-95.282605,192.0
"Tuttle, Oklahoma",35.313876,-97.753612,385.0
"Twin Lakes, Oklahoma",35.868492,-97.665038,298.0
"Twin Oaks, Oklahoma",36.197428,-94.837848,344.0
"Tyrone, Oklahoma",36.955669,-101.067992,893.0
"Union City, Oklahoma",35.399523,-97.906705,401.0
"Utica, Oklahoma",33.906613,-96.221735,183.0
"Valley Brook, Oklahoma",35.40267,-97.481423,389.0
"Valley Park, Oklahoma",36.278805,-95.735742,195.0
"Valliant, Oklahoma",34.007542,-95.084904,162.0
"Vanoss, Oklahoma",34.757816,-96.871209,318.0
"Velma, Oklahoma",34.456418,-97.663845,324.0
"Vera, Oklahoma",36.452641,-95.892914,195.0
"Verden, Oklahoma",35.083316,-98.086122,346.0
"Verdigris, Oklahoma",36.253691,-95.660458,186.0
"Vernon, Oklahoma",35.226515,-95.938588,240.0
"Vian, Oklahoma",35.50425,-94.969826,174.0
"Vici, Oklahoma",36.14881,-99.299433,691.0
"Vinita, Oklahoma",36.644152,-95.062183,217.0
"Wagoner, Oklahoma",35.965686,-95.377715,180.0
"Wainwright, Oklahoma",35.613519,-95.565562,196.0
"Wakita, Oklahoma",36.88186,-97.923948,360.0
"Walters, Oklahoma",34.358433,-98.356883,323.0
"Wanette, Oklahoma",34.974608,-97.028837,312.0
"Wann, Oklahoma",36.914701,-95.804716,261.0
"Wapanucka, Oklahoma",34.373472,-96.425128,196.0
"Wardville, Oklahoma",34.654646,-96.030893,207.0
"Warner, Oklahoma",35.491693,-95.308945,174.0
"Warr Acres, Oklahoma",35.526104,-97.618106,403.0
"Warwick, Oklahoma",35.690338,-97.005027,275.0
"Washington, Oklahoma",35.054686,-97.490731,354.0
"Washita, Oklahoma",35.104407,-98.341338,377.0
"Watonga, Oklahoma",35.847503,-98.402734,465.0
"Watova, Oklahoma",36.61972,-95.660449,226.0
"Watts, Oklahoma",36.106512,-94.573885,304.0
"Wauhillau, Oklahoma",35.861012,-94.75947,291.0
"Waukomis, Oklahoma",36.286102,-97.902729,376.0
"Waurika, Oklahoma",34.183747,-98.026293,269.0
"Wayne, Oklahoma",34.91691,-97.316523,339.0
"Waynoka, Oklahoma",36.582962,-98.87895,454.0
"Weatherford, Oklahoma",35.537395,-98.684345,499.0
"Webb City, Oklahoma",36.808308,-96.71331,332.0
"Webbers Falls, Oklahoma",35.517003,-95.164221,162.0
"Welch, Oklahoma",36.874408,-95.094399,252.0
"Weleetka, Oklahoma",35.34029,-96.135974,221.0
"Welling, Oklahoma",35.881053,-94.87032,236.0
"Wellston, Oklahoma",35.683851,-97.063415,287.0
"Welty, Oklahoma",35.62716,-96.417151,217.0
"West Peavine, Oklahoma",35.911493,-94.652781,317.0
"West Siloam Springs, Oklahoma",36.175983,-94.598966,354.0
"Westport, Oklahoma",36.193432,-96.337138,230.0
"Westville, Oklahoma",35.989661,-94.574665,354.0
"Wetumka, Oklahoma",35.241875,-96.236791,233.0
"Wewoka, Oklahoma",35.144068,-96.496775,267.0
"Whippoorwill, Oklahoma",36.912011,-96.127692,244.0
"White Eagle, Oklahoma",36.626662,-97.081228,281.0
"White Oak, Oklahoma",36.609145,-95.275453,244.0
"White Water, Oklahoma",36.50169,-94.728885,310.0
"Whitefield, Oklahoma",35.254288,-95.244834,165.0
"Whitehorn Cove, Oklahoma",35.994857,-95.287289,203.0
"Whitesboro, Oklahoma",34.7047,-94.873497,229.0
"Wickliffe, Oklahoma",36.312165,-95.107166,275.0
"Wilburton, Oklahoma",34.91845,-95.304015,203.0
"Willow, Oklahoma",35.051531,-99.509898,531.0
"Wilson, Oklahoma",34.168664,-97.425407,285.0
"Winchester, Oklahoma",35.790569,-95.998131,258.0
"Wister, Oklahoma",34.969743,-94.720638,157.0
"Woodall, Oklahoma",35.824573,-95.082349,222.0
"Woodlawn Park, Oklahoma",35.509629,-97.649868,395.0
"Woodward, Oklahoma",36.424832,-99.404726,606.0
"Wright City, Oklahoma",34.066286,-95.00701,124.0
"Wyandotte, Oklahoma",36.807143,-94.729305,239.0
"Wynnewood, Oklahoma",34.642789,-97.162467,274.0
"Wynona, Oklahoma",36.545789,-96.326351,276.0
"Yale, Oklahoma",36.115147,-96.701059,249.0
"Yeager, Oklahoma",35.156806,-96.339992,240.0
"Yukon, Oklahoma",35.518409,-97.766172,385.0
"Zeb, Oklahoma",35.796588,-95.055116,303.0
"Zena, Oklahoma",36.508375,-94.84813,290.0
"Zion, Oklahoma",35.787806,-94.642477,317.0
